symbol,name,current_price,change_percent,volume,amount,ma5,ma20,volume_ratio,rsi,is_starting,is_rising,has_increasing_volume,is_multi_ma,score
000538,云南白药,55.65,-0.80%,4973344,277344777.84,71.00931083856489,66.14765296218535,0.14322630934094066,85.90242243608162,False,True,False,True,2
000596,古井贡酒,149.70,-2.72%,3311600,498526578.0,177.42871817079532,162.08947872954278,1.1821897881789392,86.84442406752282,False,True,False,True,2
000661,长春高新,96.21,-3.01%,6868310,669947637.21,140.51244276978503,134.22732039977694,0.37583838293937194,75.48836977392352,False,True,False,True,2
000725,京东方Ａ,4.18,-0.71%,695117432,2906968610.57,4.259608045109163,4.060108711521445,0.4703361218765109,80.47521166433842,False,True,False,True,2
002027,分众传媒,7.03,-1.40%,119731308,846508203.67,8.667723403164404,8.346506490077815,1.5939099161144783,74.1093282228274,False,True,True,False,2
002032,苏 泊 尔,47.63,-1.73%,2482210,118956468.8,54.19943359534261,49.7673474955537,1.5940391218000274,83.95154005429872,False,True,True,True,3
002120,韵达股份,6.81,-1.30%,18094138,123711811.37,7.902747248587476,7.529333653026666,1.2834027773203278,78.93131294283806,False,True,True,True,3
002142,宁波银行,28.12,-0.21%,15261588,429709380.88,27.961262242274728,27.067579347039146,0.5924507841363403,65.59546445859633,False,True,False,True,2
002236,大华股份,19.03,-0.73%,24696281,473205581.53,18.304753860820323,17.789388723002173,0.7118137973433288,74.86608558928076,False,True,False,False,1
002241,歌尔股份,30.42,0.93%,92252363,2799753018.93,34.217929950585194,32.96096588771476,0.346293828973221,76.75415716287912,False,True,False,False,1
002410,广联达,12.44,-2.28%,21401250,268047506.4,14.74318959321423,14.4221596180794,0.6166778988190225,66.91881055283919,False,True,False,True,2
002493,荣盛石化,9.49,-1.86%,22111301,211709647.72,7.953286932719034,7.740478982961855,0.34755650944838723,62.11235631540569,False,True,False,False,1
002916,深南电路,204.39,4.12%,13485544,2744195690.88,163.48438121071356,159.24506735872987,1.2901640789094422,68.30063743727295,True,True,True,True,4
002939,长城证券,10.23,-2.01%,35925421,369579714.55,10.649341911328694,10.2028343782675,1.4990783471727243,72.06232547764986,True,True,True,True,4
300142,沃森生物,11.52,-1.37%,15556814,180082423.84,11.454969453449674,11.088851851987588,0.5924507841363403,65.59546445859633,False,True,False,True,2
300661,圣邦股份,67.20,1.48%,9953147,662834915.49,98.14401989532848,93.75403732319936,0.37583838293937194,75.48836977392361,False,True,False,True,2
300759,康龙化成,29.13,0.00%,18166525,534792249.75,40.35775704426602,37.938050138389045,1.3801332247485085,72.96936638319434,False,True,True,True,3
